sym,finexsym,huobisym,okexsym,zbsym,bhexsym
BTCUSDT,BTC_USDT,btcusdt,BTC-USDT,btcusdt,BTCUSDT
ETHUSDT,ETH_USDT,ethusdt,ETH-USDT,ethusdt,ETHUSDT
LTCUSDT,LTC_USDT,ltcusdt,LTC-USDT,ltcusdt,LTCUSDT
XRPUSDT,XRP_USDT,xrpusdt,XRP-USDT,xrpusdt,XRPUSDT
EOSUSDT,EOS_USDT,eosusdt,EOS-USDT,eosusdt,EOSUSDT
QTUMUSDT,QTUM_USDT,qtumusdt,QTUM-USDT,qtumusdt,QTUMUSDT
ETHBTC,ETH_BTC,ethbtc,ETH-BTC,ethbtc,ETHBTC
LTCBTC,LTC_BTC,ltcbtc,LTC-BTC,ltcbtc,LTCBTC
XRPBTC,XRP_BTC,xrpbtc,XRP-BTC,xrpbtc,XRPBTC
EOSBTC,EOS_BTC,eosbtc,EOS-BTC,eosbtc,EOSBTC
QTUMBTC,QTUM_BTC,qtumbtc,QTUM-BTC,qtumbtc,QTUMBTC
ETCUSDT,ETC_USDT,etcusdt,ETC-USDT,etcusdt,ETCUSDT
ETCBTC,ETC_BTC,etcbtc,ETC-BTC,etcbtc,ETCBTC
TRXBTC,TRX_BTC,trxbtc,TRX-BTC,trxbtc,TRXBTC
TRXUSDT,TRX_USDT,trxusdt,TRX-USDT,trxusdt,TRXUSDT
